feature,beta_f,beta_a,beta_g,pvalue_f,pvalue_a,pvalue_g,Contrast_name,Labels
Frontal_Sup_Orb_R,0.2147925854467269,0.0029979792799019653,-0.14471127879208662,0.14317089263854565,0.7808201259054137,0.5578102557090907,nBack_con_0002,23
Frontal_Mid_L,0.07510352605665922,0.0031256692852530774,-0.14665727317019242,0.597812588345677,0.7706793144751434,0.5507545378322916,nBack_con_0002,23
Frontal_Mid_R,0.15780117001393162,0.002664081065854482,-0.13706995898379223,0.27332513694274063,0.8041860662549924,0.577851935427607,nBack_con_0002,23
Frontal_Mid_Orb_L,0.15094202139282137,0.0035637168170081735,-0.1562569220195366,0.2956585884421997,0.7404384661138452,0.5263477269430061,nBack_con_0002,23
Frontal_Mid_Orb_R,0.05946983435923381,0.0030438332758193076,-0.1449212472501197,0.6783272767237335,0.7764547679584974,0.5553588641598628,nBack_con_0002,23
Frontal_Inf_Oper_L,-0.11798300631822974,0.003131144977803739,-0.14702144027546218,0.4124152259133962,0.7703430904206297,0.5498129774382277,nBack_con_0002,23
Frontal_Inf_Oper_R,0.05579590134879789,0.002656259880528886,-0.13670312359603176,0.6952858688256123,0.8046311241711195,0.5785354982870744,nBack_con_0002,23
Frontal_Inf_Tri_L,-0.06154727659438629,0.002941409090299458,-0.14274982535150454,0.6660457352697133,0.783658629711681,0.5610467371644234,nBack_con_0002,23
Frontal_Inf_Tri_R,-0.08535547579354913,0.0031779778695687905,-0.14783025880746647,0.5509433832957578,0.7669925835284022,0.5475894666098726,nBack_con_0002,23
Frontal_Inf_Orb_L,0.19890222582771389,0.0038572478092301276,-0.1624974962889853,0.16999252723827218,0.7202993839355973,0.5106060576621384,nBack_con_0002,23
Frontal_Inf_Orb_R,0.16649651656513506,0.0031341026516290716,-0.1471034020176114,0.2470692796438887,0.770554606615321,0.5504412161579313,nBack_con_0002,23
Rolandic_Oper_L,0.1981584261950893,0.0028257548349538445,-0.14097021224722117,0.17150514159510444,0.7930015245019979,0.5678765147842846,nBack_con_0002,23
Rolandic_Oper_R,0.21405328848684957,0.002908140513215242,-0.1428281187206413,0.14148178989313345,0.7873887219258251,0.5632934685586362,nBack_con_0002,23
Supp_Motor_Area_L,0.13664977949016,0.0030643246642889886,-0.14550311586395415,0.33943368128431295,0.7752906760079112,0.5542884486294387,nBack_con_0002,23
Supp_Motor_Area_R,0.19008866629860116,0.0025409272175797373,-0.13450865205542917,0.1901446566781405,0.8133047442704598,0.5853671752627547,nBack_con_0002,23
Olfactory_L,0.2594052623197441,0.0029736435388516987,-0.14470423706353544,0.0752754745801418,0.7829690813645438,0.5586937746388556,nBack_con_0002,23
Olfactory_R,0.2457933227614728,0.0024495931333438697,-0.1330515274885556,0.09186661619007284,0.8205464149197421,0.5907476022984124,nBack_con_0002,23
Frontal_Sup_Medial_L,0.11256073948090074,0.0032953039655268307,-0.15034825995724582,0.4305419904574894,0.7588055080894779,0.5410879916243687,nBack_con_0002,23
Frontal_Sup_Medial_R,0.12086344415460801,0.003400472824314012,-0.15260801435486465,0.39824740494119093,0.7515567164267509,0.5353644003735021,nBack_con_0002,23
Frontal_Med_Orb_L,0.05248909111384459,0.003240259554550982,-0.14903591340204383,0.7129953716884687,0.7629857837913641,0.5449773622684742,nBack_con_0002,23
Frontal_Med_Orb_R,0.05711058458239291,0.0032246521165960615,-0.1487251292750315,0.6891874828281895,0.7639564029066377,0.5456481066460609,nBack_con_0002,23
Rectus_L,0.2800919817815932,0.004430298444037422,-0.17565580957369178,0.06464967673240712,0.6820717171639203,0.47892260208035176,nBack_con_0002,23
Rectus_R,0.25032973130141534,0.00352139369135895,-0.15658569946334466,0.09768307613655097,0.7438928887960263,0.526443858793541,nBack_con_0002,23
Insula_L,0.06724335663393559,0.002775565114059304,-0.13925134075522422,0.6367479246858373,0.7957469225778996,0.5709913219136981,nBack_con_0002,23
Insula_R,0.10487177408715873,0.0026019466543560008,-0.13569150702517618,0.46306250428100426,0.8085247412285159,0.5813177298610539,nBack_con_0002,23
Cingulum_Ant_L,0.11680120995311755,0.00314738464583579,-0.14724676098740633,0.413444880297678,0.7692126179669472,0.549283893580913,nBack_con_0002,23
Cingulum_Ant_R,0.16877419807078908,0.0030938419739820386,-0.14637986448311013,0.24049989199553723,0.7733774065123183,0.5522381035476149,nBack_con_0002,23
Cingulum_Mid_L,0.18247953165923153,0.003343059264531101,-0.1516533124388441,0.2055396581173068,0.7560359984067107,0.5386951968584497,nBack_con_0002,23
Cingulum_Mid_R,0.24285562555913343,0.003277404238919107,-0.1503050072719517,0.09618605632823515,0.7615011651117062,0.5436328976731695,nBack_con_0002,23
Cingulum_Post_L,0.031387191208976664,0.0031205853971816725,-0.1464746081446311,0.8257298025425415,0.771493885195567,0.5519029063956846,nBack_con_0002,23
